trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1057,False,"{'a': 0.1, 'e': 0.4923575835133495}",20,3,-15.690809681086662,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
1058,False,"{'a': 0.1, 'e': 0.49148694445924623}",25,17,7.334455779297825,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.1, 'e': 0.4906158139182393}",25,15,-18.479008177191776,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
1060,False,"{'a': 0.1, 'e': 0.4897441927614595}",20,3,-24.59355313567182,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
1061,False,"{'a': 0.1, 'e': 0.4888720818605275}",20,6,-24.91689757010895,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
1062,False,"{'a': 0.1, 'e': 0.4879994820875546}",20,3,-57.81239148202783,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
1063,False,"{'a': 0.1, 'e': 0.48712639431514015}",25,11,-40.95396304538748,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
1064,False,"{'a': 0.1, 'e': 0.4862528194163721}",20,5,9.274931768006695,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1065,False,"{'a': 0.1, 'e': 0.485378758264825}",25,18,4.423995336088774,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.1, 'e': 0.48450421173456026}",20,0,-21.149363670914635,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
1067,False,"{'a': 0.1, 'e': 0.483629180700124}",25,7,12.879550945470939,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1068,False,"{'a': 0.1, 'e': 0.4827536660365475}",30,0,-42.68440315055301,"{0: 24, 1: 0, 2: 4, 3: 2, 4: 0}",0
1069,False,"{'a': 0.1, 'e': 0.481877668619345}",20,0,-15.991556642013522,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
1070,False,"{'a': 0.1, 'e': 0.48100118932451424}",25,14,-46.234339476475164,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
1071,False,"{'a': 0.1, 'e': 0.4801242290285341}",20,0,-17.619402708815407,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1072,False,"{'a': 0.1, 'e': 0.47924678860836506}",20,0,12.849022171805972,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1073,False,"{'a': 0.1, 'e': 0.47836886894144715}",30,15,-37.62879109022646,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
1074,False,"{'a': 0.1, 'e': 0.4774904709057004}",20,5,-23.936136095328102,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
